Date,Channel,Spend,Impressions,Clicks,Conversions,Revenue
2025-05-02,Paid Social,3505.75,415489,4747,109,7362.64
2024-01-05,Paid Search,616.52,25536,960,42,2812.79
2025-08-15,SEO,231.23,272721,5018,155,9783.99
2024-04-17,Paid Search,764.1,32233,1246,59,4227.59
2024-02-05,seo,156.95,162157,2947,93,5862.3
2025-04-04,SEO,199.58,223711,5307,188,13262.42
2024-08-18,Paid Social,1687.4,179179,2206,61,3744.03
2025-10-23,Paid Search,722.08,31087,1074,48,3879.0
2025-07-20,Paid Social,2630.98,326400,3843,103,7636.77
2025-01-25,Paid Social,2215.3,262654,3594,88,5854.04
2025-09-01,Email,105.05,91581,4067,265,15623.03
2024-09-07,SEO,161.89,179355,3236,102,7587.52
2025-06-19,Paid Search,783.43,34613,1062,40,2807.77
2025-10-24,SEO,216.46,250329,5777,183,14086.87
2024-07-03,Paid Social,,248080,3254,79,5431.43
2025-04-13,Email,79.78,60778,2852,186,11936.86
2025-02-10,Email,90.46,67913,3215,196,12071.04
2024-01-11,SEO,185.02,196206,4716,163,12094.37
2024-05-29,Paid Search,667.34,28496,861,44,3318.25
2025-02-02,Paid Search,550.83,25919,946,46,3525.59
2024-01-05,SEO,183.13,200295,4502,148,10371.09
2024-12-04,Email,87.75,78927,3970,255,16023.21
2025-02-05,Paid Search,721.83,32257,1267,57,4124.3
2024-09-16,Paid Search,727.34,32995,1074,51,3443.83
2024-09-25,SEO,203.9,209846,3756,122,8774.06
2025-03-05,Email,108.65,86627,3980,258,14349.68
2024-07-10,Paid Social,1787.58,189781,2154,67,4968.06
2024-10-04,Paid Search,715.02,33030,1153,59,4018.57
2025-01-20,Paid Search,673.31,28225,921,36,2606.81
2025-06-09,Email,108.0,84423,4012,250,14718.92
2025-06-19,Email,102.4,90250,3647,253,15616.34
2024-12-09,Email,108.37,86452,3811,252,14911.43
2024-06-05,Email,81.48,71267,3096,198,13227.48
2024-07-19,Email,107.23,83695,3305,207,12810.98
2024-07-23,Email,96.05,81761,3723,277,15750.7
2025-03-23,Paid Search,516.91,21772,707,33,2534.79
2024-01-20,Paid Social,815.25,98777,1185,29,2033.37
2024-01-29,SEO,199.33,241814,4791,144,10248.44
2025-04-28,Paid Search,634.06,27387,1069,41,3045.78
2025-04-14,Email,103.57,94148,4240,238,14246.3
2025-01-17,Email,109.05,99375,4790,317,18946.84
2025-07-27,SEO,152.53,152590,2802,93,6084.82
2025-02-21,Paid Social,2514.4,289532,3376,95,5857.22
2025-09-15,Paid Search,777.55,35210,1075,46,3499.3
2024-08-23,PAID SEARCH,714.72,32928,1182,58,3953.81
2024-10-11,SEO,179.31,187720,3755,108,7393.86
2025-02-16,Paid Social,2336.53,279495,3305,89,6643.78
2024-04-05,Paid Social,1284.77,140059,1699,47,2937.11
2024-06-28,SEO,212.87,236810,5484,189,13186.62
2024-08-06,Paid Search,775.79,36017,1441,59,4399.21
2025-04-27,Email,79.89,71827,3271,209,12259.57
2024-07-28,Email,80.13,63376,2809,208,13502.51
2025-02-01,SEO,147.29,165763,3677,113,8318.6
2024-05-26,SEO,147.99,168359,3268,94,6188.73
2024-07-20,Paid Social,1192.04,126617,1444,44,2935.11
2024-12-20,Email,90.13,72708,2912,215,12892.48
2025-03-19,SEO,196.98,232843,4771,165,12308.45
2025-09-07,Email,79.59,66903,3220,232,14011.29
2024-05-13,Email,100.86,91921,3564,202,13186.57
2025-08-15,Paid Social,3628.78,399316,4921,87,5425.51
2024-12-09,Paid Search,,29068,951,46,3131.66
2025-04-22,Paid Search,806.82,35719,1072,47,3296.45
2024-09-20,Paid Search,775.65,34288,1235,61,4433.37
2024-04-25,SEO,186.45,219514,4333,126,8739.7
2024-07-08,Email,103.45,78920,3540,233,15084.12
2024-02-04,Paid Search,474.22,23465,861,35,2665.39
2025-07-24,Paid Search,764.12,32043,1244,55,3958.66
2025-03-27,Paid Search,762.52,33616,1072,41,3046.95
2024-09-21,Paid Social,1638.01,207744,2305,63,3910.11
2024-04-21,SEO,155.77,156955,3103,96,6158.95
2025-05-09,Paid Social,2843.08,323206,3777,88,5946.58
2025-05-23,Paid Search,796.45,32802,978,46,3384.94
2024-10-06,SEO,152.85,157510,3071,106,7042.05
2025-04-15,Paid Social,3500.24,374484,4606,86,6101.79
2024-04-07,Paid Search,542.43,22471,688,35,2761.67
2025-08-30,paid search,588.99,24534,927,44,2968.98
2025-03-01,SEO,143.77,148113,3138,93,7143.9
2024-04-16,Paid Social,1590.61,190746,2110,59,3832.14
2025-08-26,Paid Search,670.4,29386,953,37,2791.27
2025-01-01,Paid Search,798.22,37189,1397,59,4095.53
2025-02-25,Paid_Social,2640.21,306348,3732,90,5937.11
2024-09-19,SEO,172.68,205860,4397,139,9321.5
2024-05-07,Email,100.44,82117,4236,280,17332.33
2024-04-22,Email,102.66,77094,3072,196,11945.61
2025-08-16,Paid Social,2386.85,282035,3809,102,7037.88
2025-01-20,Paid Social,2418.47,306656,3938,87,5892.35
2024-06-19,Paid Social,1823.46,223754,2465,65,4698.73
2025-07-23,Paid Search,634.75,26874,934,40,3162.55
2024-08-13,SEO,183.96,212846,5106,180,12110.98
2024-02-16,Email,84.2,76705,3553,239,14045.69
2024-01-17,SEO,200.88,214583,3971,137,10050.41
2024-12-27,SEO,185.9,203111,4110,117,8871.77
2024-09-05,Paid Search,688.76,33354,1260,65,4950.31
2024-12-31,Paid Search,616.26,25709,999,49,3515.27
2025-04-20,SEO,136.52,155583,3742,124,8989.16
2024-05-21,Paid_Search,632.45,27359,1040,42,2878.39
2024-06-01,SEO,131.63,159682,3436,105,6743.35
2025-07-06,Email,66.12,58467,2946,189,10699.53
2025-06-25,SEO,,247255,4753,163,11361.31
2024-12-01,Paid Search,567.77,25669,973,37,2908.64
2024-01-28,PAID SOCIAL,782.57,85354,930,22,1451.71
2024-12-17,Paid Search,645.12,28530,875,40,2899.36
2025-02-11,Paid Social,2661.41,289533,3837,98,7063.6
2025-05-07,Paid Social,2812.65,305945,4170,110,8030.58
2025-01-01,Paid Social,2838.14,301432,4065,96,5894.93
2025-06-06,Paid Search,795.02,36112,1144,54,4138.94
2024-04-26,Paid Search,591.04,29139,933,41,2999.1
2024-10-19,SEO,127.7,142099,3318,100,7146.72
2024-04-25,Paid Search,693.01,29171,1058,54,4366.27
2024-03-24,Email,67.12,50369,1953,140,9030.24
2025-01-03,SEO,195.45,231107,5235,164,12210.92
2025-01-23,seo,207.58,244227,5600,154,10873.69
2024-02-18,Email,64.76,50875,2360,165,10727.22
2025-06-22,PAID SEARCH,535.69,23227,731,30,2087.47
2024-02-06,Paid Social,1218.99,130736,1489,43,2842.68
2024-07-29,SEO,196.25,208182,3834,119,8940.15
2025-02-22,Paid Social,1898.58,208449,2419,60,4142.71
2024-01-21,Paid Search,537.37,24473,811,37,2934.14
2025-07-07,Paid Social,3563.11,435601,4814,107,7726.93
2025-07-12,Paid Search,573.8,28183,984,39,3088.62
2024-05-03,Paid Search,712.41,30370,1028,52,3755.8
2025-08-17,Paid Social,2946.42,317153,4041,96,5920.57
2025-04-21,Paid Social,3059.48,385714,4999,101,7314.37
2024-06-24,SEO,202.41,205757,4572,129,9315.22
2025-01-17,SEO,219.63,232760,4909,157,11000.73
2025-08-26,SEO,216.18,238738,4996,155,9775.32
2025-09-21,PAID SEARCH,552.49,27195,1089,45,3326.22
2025-06-18,Paid Social,3235.28,411401,4660,101,7449.06
2024-11-10,SEO,130.22,138310,2788,76,5057.88
2024-02-01,Paid Search,714.74,34747,1148,50,3684.22
2024-07-15,Paid Social,2030.29,215571,2949,77,5444.76
2024-03-28,Paid Social,1113.45,131580,1448,37,2656.3
2024-03-29,SEO,163.21,165100,3066,88,5953.87
2024-05-11,Paid Search,500.1,23495,825,34,2672.54
2025-01-09,Paid Search,664.42,28192,1082,47,3331.89
2025-01-27,Paid Search,794.5,38360,1319,55,3796.94
2025-01-05,Paid Social,2192.86,266345,2787,72,4500.85
2024-10-25,Paid Search,620.65,30022,1002,50,3618.91
2025-10-23,SEO,213.91,225485,5299,172,12312.07
2025-05-15,Paid Search,704.69,31208,1175,48,3776.86
2024-07-01,SEO,192.39,222301,4458,158,10066.03
2025-04-17,Email,100.05,79148,3837,213,11887.69
2024-09-04,Paid Search,685.46,28480,863,44,3221.74
2024-05-15,Paid Search,645.64,27266,999,39,2953.4
2024-10-25,SEO,185.03,190300,4242,142,10568.5
2025-06-18,Email,114.98,88284,4307,283,17532.58
2024-07-26,SEO,175.67,199821,4494,136,9311.8
2025-03-03,Paid Search,807.73,38164,1525,76,5415.23
2025-08-02,Paid Social,2331.85,271929,3472,89,6202.39
2024-04-20,Paid Search,,20582,690,28,2218.39
2025-07-31,Email,102.52,82840,3690,263,17328.55
2025-02-01,Paid Search,471.35,20046,626,29,2347.84
2025-05-16,Paid Social,3052.58,355320,3984,81,5798.24
2024-05-04,Paid Search,501.29,23596,751,35,2587.8
2025-02-21,Paid Search,616.25,28939,1018,45,3212.85
2025-08-18,SEO,183.69,213230,3927,127,8432.37
2025-01-02,Paid Search,656.24,31131,1016,48,3681.84
2025-07-03,SEO,207.13,219508,4567,141,9232.25
2024-04-13,seo,125.06,134531,2639,81,5709.19
2024-10-05,SEO,134.81,149706,3289,105,7396.13
2025-08-05,PAID SEARCH,640.68,28202,861,34,2298.73
2025-03-21,Paid Search,610.09,27554,860,40,3050.22
2024-06-06,Paid Search,766.5,35071,1248,59,4145.59
2025-08-23,SEO,162.06,163619,2999,106,7813.68
2025-02-15,Paid Search,557.99,24076,894,43,3386.86
2024-11-24,SEO,134.57,157453,3644,123,9171.69
2025-09-06,email,71.14,60349,2724,200,11303.88
2025-06-28,Paid Social,2359.4,303240,3548,84,5657.1
2024-10-26,Email,72.12,55034,2477,182,10313.64
2025-06-13,Paid Search,679.19,30776,1029,49,3632.79
2025-07-20,Paid Search,577.01,25389,990,46,3547.46
2025-02-07,SEO,194.26,216576,4484,136,9475.92
2024-06-20,Paid Search,717.12,35449,1352,65,4339.59
2025-06-25,Paid Search,625.5,29645,1081,43,2891.54
2024-04-14,Paid Search,507.84,23691,832,41,3280.6
2024-02-16,Paid Search,665.82,28806,928,47,3576.24
2025-10-31,Email,111.98,89319,3520,210,11580.24
2024-03-18,SEO,186.97,188579,3444,93,6587.7
2025-03-05,Paid Search,775.78,34194,1082,47,3740.36
2025-03-11,SEO,198.63,211459,4329,137,10249.01
2024-12-13,SEO,182.17,186638,3480,115,7956.65
2024-07-25,Email,96.2,76025,3816,276,18202.26
2024-08-03,SEO,163.65,165617,3116,110,8116.51
2024-09-15,Paid Search,491.02,22365,757,38,2613.7
2024-12-20,SEO,173.29,208529,4397,117,8121.4
2025-01-13,Email,96.13,81089,3740,272,16668.01
2025-02-18,Email,94.5,80489,3932,240,14144.26
2024-09-01,Paid Social,1462.01,186196,2182,52,3782.59
2025-10-04,Email,71.48,61502,2813,180,10228.45
2025-09-19,Email,89.47,67579,2731,151,8853.83
2025-09-26,SEO,183.45,214193,4009,126,8268.29
2024-01-03,Email,98.12,85477,3679,233,14795.47
2025-09-10,SEO,239.4,273064,5197,137,10185.09
2025-04-27,SEO,150.84,166417,3053,101,6750.86
2025-06-13,SEO,221.56,260820,4826,135,8556.11
2024-12-14,Paid Social,2126.07,228885,2580,61,3792.29
2025-10-10,Email,96.29,78615,3096,208,12588.21
2024-08-25,Paid Search,553.21,25558,999,48,3718.33
2024-08-20,EMAIL,87.9,78761,3218,186,10634.59
2025-10-27,SEO,243.05,263942,5483,168,11034.98
2025-06-27,SEO,215.33,248296,5603,187,13808.56
2025-01-31,Paid Search,633.05,27474,1004,47,3135.85
2024-12-12,SEO,183.6,204338,3874,106,7791.06
2025-02-14,Paid Social,2497.76,308000,3635,91,6184.2
2024-09-06,Paid Social,2065.68,266051,3015,81,5105.83
2024-02-04,SEO,141.06,159893,3813,124,8838.15
2025-05-13,SEO,191.38,216497,4990,144,9641.3
2024-06-10,Paid Social,1831.3,201293,2609,72,5328.23
2024-02-14,Email,87.11,78799,3628,223,13674.52
2025-03-09,SEO,135.2,161564,3478,97,6473.89
2024-08-14,Email,98.59,89243,3765,226,12890.19
2025-09-04,Paid Social,4218.12,477411,4968,78,4940.9
2025-10-01,SEO,215.31,258805,5945,203,14141.54
2025-06-04,Email,88.31,68732,2650,187,10849.79
2025-06-26,Email,90.74,69590,2771,176,10621.81
2025-01-16,Paid Social,2672.63,290416,3712,103,6366.68
2025-06-10,EMAIL,86.01,66485,3037,168,10468.86
2024-09-22,SEO,125.26,149633,3259,97,6522.75
2025-08-25,Paid Social,3372.56,403708,4615,91,6336.44
2025-08-03,Paid Social,2929.24,346560,4579,121,7859.79
2025-06-05,Paid Social,2865.48,314095,3500,82,5438.35
2025-05-22,Paid Social,2862.57,368493,4418,108,7066.25
2024-02-12,Email,93.0,85213,3329,238,13666.99
2025-01-25,Email,78.06,66091,3052,185,11989.0
2024-05-05,Paid Search,483.4,21696,679,30,2434.44
2024-05-18,SEO,120.88,128648,2517,84,5880.49
2024-01-16,Paid Search,557.2,23781,904,46,3155.04
2025-03-13,SEO,189.41,200814,4818,139,10028.45
2024-04-08,Paid Social,,151095,1901,58,4310.63
2024-03-27,Paid Search,655.68,32157,1246,53,4007.58
2024-10-23,Paid Search,779.31,38021,1311,56,4508.08
2025-09-04,Paid Search,696.49,34105,1029,47,3221.95
2024-01-15,Paid Search,645.41,29272,904,36,2447.16
2024-01-01,Email,95.92,78796,3582,241,15090.63
2025-08-16,SEO,135.51,159909,3440,97,6279.72
2025-07-09,SEO,184.98,197577,3611,126,9357.34
2025-08-12,SEO,228.58,233089,5016,160,10200.16
2025-08-20,SEO,213.37,245116,4857,129,9391.02
2025-04-14,SEO,191.15,200100,3652,105,7596.52
2025-09-13,SEO,142.69,160814,3719,123,9029.98
2025-07-22,Email,108.32,81796,4037,279,16970.72
2025-08-23,Email,81.73,67174,2816,203,11865.28
2025-02-12,Paid Search,669.83,33444,1224,54,4093.29
2025-02-28,Paid Search,771.37,34691,1393,69,5238.4
2024-06-19,SEO,177.4,203539,3676,112,8084.22
2024-12-18,PAID SEARCH,620.44,29610,934,41,2981.55
2025-06-07,SEO,167.23,186422,4429,154,10940.23
2024-06-14,Paid Search,603.37,26216,795,33,2535.57
2024-03-28,Email,86.71,70179,3188,215,13270.99
2025-08-01,SEO,191.06,215164,5105,142,9303.57
2024-10-19,Paid Social,1770.56,224995,2696,66,4518.09
2024-05-31,Email,96.51,81202,3164,200,13086.27
2025-06-20,Paid Social,2874.95,353755,3886,92,6724.54
2025-08-19,PAID SOCIAL,3442.12,385847,4415,102,7569.02
2025-02-17,Email,105.02,89515,4164,268,16130.26
2025-10-08,Email,98.14,74592,3595,239,15197.85
2024-06-21,Paid Social,1529.74,181185,2473,74,5457.48
2024-12-24,Paid Social,2717.98,306192,3216,71,5285.08
2025-10-20,SEO,182.18,221411,4225,140,10463.99
2025-02-20,seo,180.29,192656,3559,119,7607.35
2025-10-21,SEO,190.79,204019,4105,139,9311.25
2025-04-22,Paid Social,3001.57,319403,3588,90,5538.97
2024-08-31,Paid Social,1463.85,185932,2048,56,4170.16
2025-04-24,Email,112.29,85879,4056,225,14356.59
2024-10-06,Email,69.76,52819,2145,119,6986.29
2025-02-04,Paid_Search,675.6,33776,1014,47,3314.45
2024-09-09,SEO,167.66,193776,3511,116,8400.22
2024-05-31,Paid Search,579.87,26636,923,41,2897.8
2025-07-21,SEO,184.42,196862,3704,102,6558.04
2024-03-09,Paid Search,448.39,19910,698,35,2740.96
2025-10-31,SEO,203.65,207183,4884,140,10075.31
2025-02-27,Paid Social,3152.89,389352,5272,114,8434.08
2024-11-05,Paid Social,2269.59,250324,3255,86,5870.86
2025-09-07,SEO,180.42,191696,4160,132,9754.67
2024-03-22,Email,91.12,73287,2828,200,13327.05
2025-03-24,SEO,173.02,178244,3635,127,9323.38
2024-07-22,Email,100.44,81805,4027,250,15901.31
2024-09-13,Paid Search,780.08,38145,1449,58,4606.75
2025-05-08,Paid Social,3551.59,401677,5470,121,7732.45
2025-01-21,SEO,209.02,236248,5651,194,14394.96
2024-11-09,Paid Social,1891.22,213799,2369,61,3782.57
2024-10-09,Paid Social,1986.25,224043,2506,63,4690.04
2024-10-16,Paid Search,634.71,28363,891,34,2598.84
2025-07-04,Paid_Search,660.11,30455,1061,49,3354.6
2024-11-05,Email,83.95,66210,2966,216,12454.34
2024-02-25,SEO,148.1,159387,3531,114,8026.13
2024-12-21,Paid Search,591.01,25354,755,37,2498.17
2025-03-28,Email,97.6,81585,3416,227,15128.76
2025-07-13,Paid Search,622.42,29872,940,46,3119.82
2025-02-26,Paid Search,642.64,29425,1032,48,3338.72
2025-07-23,Email,112.81,96308,4936,305,19803.07
2025-07-03,Paid Social,2934.5,334827,3574,75,5058.47
2024-04-09,Paid Search,762.44,34728,1219,60,4657.65
2025-01-11,Paid Search,499.01,22945,894,34,2694.33
2025-05-30,Paid Search,812.44,39934,1363,59,4054.16
2025-02-21,Email,100.78,90113,4542,320,19739.91
2024-04-14,Email,68.96,58618,2331,156,9690.01
2025-08-01,Email,88.45,73427,3322,201,11696.62
2025-07-28,Paid Social,3987.65,513233,6481,102,7149.24
2025-03-25,Paid Search,772.9,34278,1163,59,3996.68
2025-06-11,Paid Social,3164.37,379619,3961,81,5607.88
2025-09-24,SEO,192.13,219895,5032,133,8635.99
2024-05-20,SEO,160.02,177806,3185,112,7733.33
2024-03-16,Email,66.37,54153,2621,189,12583.76
2024-12-11,Email,96.06,73717,3412,209,12202.68
2025-02-08,Paid Search,497.46,21794,751,35,2655.47
2025-07-18,SEO,232.47,283558,6230,207,13697.49
2025-02-02,Email,72.35,59555,2936,179,10806.02
2024-04-10,Paid Social,1190.12,134954,1626,38,2354.58
2024-06-18,Paid Social,1896.23,221161,2893,73,5076.87
2024-10-18,Paid Search,604.54,27557,1108,49,3417.02
2025-07-02,seo,228.27,272902,5771,199,15241.14
2025-10-25,Paid Search,508.71,22402,895,39,2782.11
2024-04-14,Paid Social,1180.86,139022,1771,52,3254.75
2024-07-11,Email,84.3,73341,3579,256,17142.04
2024-07-24,Paid Search,594.46,25726,971,43,3499.54
2025-01-21,Paid Search,722.76,30878,1046,47,3489.55
2024-03-19,SEO,159.14,173344,3726,118,8784.37
2024-12-07,SEO,150.94,157708,2986,96,7254.02
2024-08-02,Paid Social,1649.96,186453,1905,56,4148.57
2024-10-15,Paid Social,2139.49,268409,3097,93,5839.91
2024-10-30,SEO,200.83,224694,4760,127,8653.05
2024-11-04,Paid Search,636.55,28826,903,37,2588.89
2025-04-29,Paid Social,3428.94,407342,5401,107,6812.81
2024-10-26,Paid Search,586.65,27901,924,36,2477.41
2024-04-25,Email,102.81,79678,3759,240,15320.0
2024-10-08,Paid Social,1934.49,207168,2474,60,3874.93
2025-06-23,PAID SOCIAL,2960.41,371123,4039,81,5098.92
2025-05-31,Paid Social,2268.81,293053,3811,113,7915.8
2024-08-10,Paid Social,1403.02,156517,2111,55,3531.74
2024-11-23,Email,62.02,51500,2041,148,8436.1
2024-09-25,Email,81.3,74249,3149,222,13743.85
2025-01-03,Email,92.25,76832,3625,234,14853.52
2024-06-24,Email,91.71,79519,3306,237,13199.98
2024-10-16,Email,87.74,69040,2963,187,10576.79
2025-07-09,Paid Search,690.33,32853,1226,48,3772.02
2024-09-26,PAID SOCIAL,2409.28,292339,3144,77,5444.2
2025-06-25,Email,86.23,73384,3775,252,14757.33
2025-06-13,Email,109.96,97192,3952,294,19293.59
2025-03-14,SEO,182.43,190310,4460,154,11158.33
2024-10-12,Email,70.63,56597,2627,147,8123.15
2024-01-24,PAID SEARCH,740.7,33243,1172,45,3643.95
2025-05-29,Paid Social,3285.27,359093,4922,101,7533.13
2025-01-04,SEO,158.06,164606,3946,124,8989.77
2025-03-02,PAID SEARCH,535.25,22945,820,37,2837.73
2025-06-12,Paid_Search,743.27,34705,1096,53,3876.65
2024-12-23,Email,95.63,81429,3260,205,11684.55
2025-02-02,Paid Social,1970.5,228452,2664,68,4491.35
2024-03-17,Email,67.15,53737,2233,156,10166.33
2024-06-04,Email,99.82,86481,3749,253,14006.53
2025-08-15,Paid Search,668.22,27792,910,42,2859.31
2025-02-14,SEO,200.69,227496,4663,141,9405.73
2024-07-25,Paid Social,1865.01,211798,2814,80,5308.74
2025-04-17,SEO,214.28,248060,5745,163,10420.27
2025-04-24,Paid Search,805.85,33560,1148,57,3942.49
2024-01-02,Paid Social,821.85,101805,1188,31,2246.9
2024-06-02,Paid Search,570.79,28361,865,41,3292.15
2024-02-14,Paid Search,736.0,34970,1256,53,3929.57
2025-09-25,SEO,215.21,249708,5869,160,11486.65
2024-11-21,Email,93.17,71027,3336,235,14564.32
2025-10-11,Email,79.49,60820,3035,200,12762.91
2025-10-19,Paid Search,602.26,25772,1034,50,3751.3
2025-04-10,SEO,188.89,224228,4565,139,9801.15
2024-05-10,SEO,161.58,171599,3497,109,7719.49
2025-03-29,SEO,165.16,187381,4399,142,9389.12
2025-02-28,SEO,197.7,198253,3567,101,7578.11
2024-03-26,SEO,156.97,180121,4259,115,7825.83
2024-11-24,Paid Social,,201839,2264,54,3933.89
2024-07-12,EMAIL,80.95,62354,3201,227,13739.41
2024-08-08,Paid Social,1977.34,254456,3049,78,5387.22
2024-08-28,Paid Search,616.75,25872,806,31,2173.03
2024-12-01,SEO,158.85,170161,3487,107,7042.56
2025-08-09,Email,81.4,74420,3082,222,14268.44
2025-03-08,Paid Social,1944.43,213508,2228,71,4495.93
2025-08-11,Email,105.65,91110,4666,302,18935.71
2025-05-05,SEO,219.65,254484,5017,155,10222.36
2024-09-14,Paid Social,1353.64,152486,1932,50,3125.75
2024-07-22,SEO,174.49,205469,4004,106,7010.69
2024-06-29,Paid Search,476.56,23299,855,39,2850.78
2024-11-11,Paid Social,2033.26,221178,2480,59,3754.4
2025-07-01,Email,113.23,97690,4989,365,22365.07
2025-06-28,Paid Search,468.03,21586,647,29,2146.49
2025-01-20,SEO,214.43,238292,4360,138,10390.74
2024-03-01,Email,95.07,85319,4273,281,17607.03
2024-08-31,SEO,155.86,187765,4225,134,9242.94
2025-01-27,PAID SOCIAL,2583.76,309293,3287,74,5082.9
2024-11-06,Paid Search,800.55,33865,1318,56,4315.76
2024-11-21,Paid Social,2747.96,313032,3905,99,6368.68
2025-05-06,Paid Search,794.77,37247,1460,63,4602.39
2025-03-22,Paid Social,2111.56,255117,3206,89,6589.14
2025-10-09,Email,94.67,82236,4169,289,16051.08
2024-02-27,Paid Search,681.13,33558,1173,54,3730.65
2025-03-16,Paid Social,2139.19,276447,3113,72,5123.47
2025-07-08,Email,102.83,84891,3688,229,14767.27
2024-04-03,SEO,160.43,163428,3287,98,6781.92
2025-07-28,Email,115.87,90975,4603,265,16846.22
2024-08-15,SEO,167.48,181519,4246,141,8941.08
2025-09-09,SEO,221.18,221187,5321,182,12111.54
2025-07-01,Paid Social,3357.7,374600,5140,112,7129.1
2024-09-21,Paid Search,458.58,22279,811,34,2571.26
2025-05-13,Paid Search,757.58,34726,1309,55,3867.23
2025-01-14,Email,90.59,77169,3555,234,14647.14
2025-05-02,Email,91.26,74258,2997,199,12023.74
2024-01-21,Email,69.33,54533,2754,203,12395.33
2025-07-05,Paid Search,492.48,21396,675,34,2354.86
2025-03-02,Email,72.17,61788,2604,155,9220.82
2024-09-18,SEO,,220937,4856,149,9626.97
2025-08-22,Paid Search,838.12,40479,1613,68,4605.22
2025-02-23,SEO,158.23,186602,3972,131,9384.26
2025-09-05,Email,102.14,89709,3502,232,14350.03
2025-06-29,Email,64.86,49080,2459,162,10395.2
2024-09-28,SEO,143.12,174225,3672,107,7238.06
2024-03-17,Paid Search,534.56,23439,882,42,2972.33
2025-01-15,Paid Search,626.93,31018,1083,55,3836.83
2025-07-26,Paid Social,2745.91,309871,3666,100,7407.04
2025-03-14,Email,109.4,90608,4342,245,14883.94
2024-12-27,Paid Search,751.86,36523,1130,54,3965.74
2024-08-16,paid search,686.68,33314,1044,53,3619.83
2024-03-02,Paid Social,972.1,116194,1534,38,2665.05
2025-09-22,Email,92.35,81313,3661,225,13190.28
2024-06-22,Paid Social,1300.45,142962,1598,38,2789.28
2025-06-15,SEO,162.75,173414,3441,93,7052.2
2025-08-27,Paid Search,695.95,30473,946,42,3077.9
2024-10-18,SEO,204.85,243375,5151,157,11978.16
2025-07-12,Email,86.53,77536,3268,239,14227.2
2024-01-02,Email,88.41,70753,2830,194,11633.09
2024-01-17,Email,99.85,80772,3670,253,14505.23
2025-01-24,SEO,209.15,233891,5565,156,9860.16
2025-08-31,Paid Search,484.19,22276,750,34,2582.86
2024-05-02,Email,86.2,68550,3072,222,13755.34
2024-02-22,PAID SEARCH,619.62,29514,1089,44,3459.71
2024-07-31,SEO,204.92,244560,5059,161,12256.27
2024-08-14,Paid Social,2001.05,249944,3398,80,5670.47
2024-10-27,SEO,126.53,132339,2467,66,4762.06
2025-07-11,SEO,184.71,224214,4837,158,10758.59
2025-09-13,Paid Social,2971.58,342520,4443,91,5582.56
2024-02-02,SEO,207.82,250302,5779,168,12277.33
2025-06-15,Paid Search,523.34,23162,726,29,2095.03
2025-08-21,EMAIL,96.09,84212,4254,298,18850.69
2024-02-28,Paid Search,703.42,31181,1252,51,4079.3
2024-03-23,paid search,466.7,20313,679,33,2502.65
2025-05-18,paid search,619.26,29746,900,43,3234.9
