Date,Channel,Spend,Impressions,Clicks,Conversions,Revenue,CAC,ROAS,ConversionRate,CTR,Month,Week
2024-01-07,Email,69.06,57235,2946,205,11788.55,0.34,170.7,6.959,5.147,2024-01,2024-01-01/2024-01-07
2024-01-08,Email,83.76,69496,2751,170,10933.0,0.49,130.528,6.18,3.959,2024-01,2024-01-08/2024-01-14
2024-01-08,Paid Search,675.63,31116,1125,47,3781.67,14.38,5.597,4.178,3.616,2024-01,2024-01-08/2024-01-14
2024-01-08,Paid Social,800.84,87294,973,27,1846.79,29.66,2.306,2.775,1.115,2024-01,2024-01-08/2024-01-14
2024-01-08,SEO,160.56,160835,3258,102,6671.28,1.57,41.55,3.131,2.026,2024-01,2024-01-08/2024-01-14
2024-01-09,Paid Social,1022.7,114454,1514,45,2809.88,22.73,2.748,2.972,1.323,2024-01,2024-01-08/2024-01-14
2024-01-09,Paid Search,554.07,25636,889,37,2595.58,14.97,4.685,4.162,3.468,2024-01,2024-01-08/2024-01-14
2024-01-09,Email,91.48,76435,3446,227,13450.46,0.4,147.032,6.587,4.508,2024-01,2024-01-08/2024-01-14
2024-01-09,SEO,164.73,187094,4180,121,8126.91,1.36,49.335,2.895,2.234,2024-01,2024-01-08/2024-01-14
2024-01-10,Email,88.7,69843,3263,204,13650.39,0.43,153.894,6.252,4.672,2024-01,2024-01-08/2024-01-14
2024-01-10,Paid Social,1022.22,125317,1561,47,3059.68,21.75,2.993,3.011,1.246,2024-01,2024-01-08/2024-01-14
2024-01-10,Paid Search,581.4,25315,778,35,2533.34,16.61,4.357,4.499,3.073,2024-01,2024-01-08/2024-01-14
2024-01-10,SEO,168.05,196692,4035,115,7432.36,1.46,44.227,2.85,2.051,2024-01,2024-01-08/2024-01-14
2024-01-11,Paid Search,744.0,32396,1216,50,3892.51,14.88,5.232,4.112,3.754,2024-01,2024-01-08/2024-01-14
2024-01-11,Email,100.49,88160,4275,312,18691.17,0.32,186.0,7.298,4.849,2024-01,2024-01-08/2024-01-14
2024-01-11,Paid Social,876.65,94803,1167,32,2272.81,27.4,2.593,2.742,1.231,2024-01,2024-01-08/2024-01-14
2024-01-11,SEO,185.02,196206,4716,163,12094.37,1.14,65.368,3.456,2.404,2024-01,2024-01-08/2024-01-14
2024-01-12,Paid Social,921.58,103858,1364,39,2780.6,23.63,3.017,2.859,1.313,2024-01,2024-01-08/2024-01-14
2024-01-12,SEO,194.0,236341,4990,156,11090.47,1.24,57.167,3.126,2.111,2024-01,2024-01-08/2024-01-14
2024-01-12,Email,80.02,62667,2479,167,9514.18,0.48,118.898,6.737,3.956,2024-01,2024-01-08/2024-01-14
2024-01-12,Paid Search,635.55,26234,1013,44,3242.55,14.44,5.102,4.344,3.861,2024-01,2024-01-08/2024-01-14
2024-01-13,Paid Search,463.48,22652,862,44,3309.73,10.53,7.141,5.104,3.805,2024-01,2024-01-08/2024-01-14
2024-01-13,Email,70.22,59099,2420,163,10217.22,0.43,145.503,6.736,4.095,2024-01,2024-01-08/2024-01-14
2024-01-13,Paid Social,664.61,81348,1053,28,1751.42,23.74,2.635,2.659,1.294,2024-01,2024-01-08/2024-01-14
2024-01-13,SEO,126.4,151392,2966,102,7494.21,1.24,59.29,3.439,1.959,2024-01,2024-01-08/2024-01-14
2024-01-14,SEO,150.54,167770,3107,82,5854.05,1.84,38.887,2.639,1.852,2024-01,2024-01-08/2024-01-14
2024-01-14,Email,60.27,55096,2238,148,8404.57,0.41,139.449,6.613,4.062,2024-01,2024-01-08/2024-01-14
2024-01-14,Paid Social,721.09,82640,1023,28,1725.92,25.75,2.393,2.737,1.238,2024-01,2024-01-08/2024-01-14
2024-01-14,Paid Search,517.12,22325,792,32,2485.5,16.16,4.806,4.04,3.548,2024-01,2024-01-08/2024-01-14
2024-01-15,Paid Search,645.41,29272,904,36,2447.16,17.93,3.792,3.982,3.088,2024-01,2024-01-15/2024-01-21
2024-01-15,Email,81.28,73921,3611,267,14739.15,0.3,181.338,7.394,4.885,2024-01,2024-01-15/2024-01-21
2024-01-15,Paid Social,996.1,121099,1312,33,2373.37,30.18,2.383,2.515,1.083,2024-01,2024-01-15/2024-01-21
2024-01-15,SEO,192.58,194834,4666,165,11858.2,1.17,61.575,3.536,2.395,2024-01,2024-01-15/2024-01-21
2024-01-16,SEO,165.99,175633,3248,97,7043.17,1.71,42.431,2.986,1.849,2024-01,2024-01-15/2024-01-21
2024-01-16,Paid Search,557.2,23781,904,46,3155.04,12.11,5.662,5.088,3.801,2024-01,2024-01-15/2024-01-21
2024-01-16,Email,77.65,68198,3123,186,11760.06,0.42,151.45,5.956,4.579,2024-01,2024-01-15/2024-01-21
2024-01-16,Paid Social,1068.6,115396,1431,44,2880.5,24.29,2.696,3.075,1.24,2024-01,2024-01-15/2024-01-21
2024-01-17,Paid Search,726.33,34449,1366,66,5083.67,11.0,6.999,4.832,3.965,2024-01,2024-01-15/2024-01-21
2024-01-17,Email,99.85,80772,3670,253,14505.23,0.39,145.27,6.894,4.544,2024-01,2024-01-15/2024-01-21
2024-01-17,Paid Social,1100.26,127835,1351,41,2982.27,26.84,2.711,3.035,1.057,2024-01,2024-01-15/2024-01-21
2024-01-17,SEO,200.88,214583,3971,137,10050.41,1.47,50.032,3.45,1.851,2024-01,2024-01-15/2024-01-21
2024-01-18,Paid Social,847.47,101253,1159,35,2569.69,24.21,3.032,3.02,1.145,2024-01,2024-01-15/2024-01-21
2024-01-18,Email,101.5,85506,3687,265,17033.41,0.38,167.817,7.187,4.312,2024-01,2024-01-15/2024-01-21
2024-01-18,SEO,178.67,179783,3329,95,6427.35,1.88,35.973,2.854,1.852,2024-01,2024-01-15/2024-01-21
2024-01-18,Paid Search,605.04,26093,777,35,2771.75,17.29,4.581,4.505,2.978,2024-01,2024-01-15/2024-01-21
2024-01-19,SEO,195.42,213620,4162,138,10375.41,1.42,53.093,3.316,1.948,2024-01,2024-01-15/2024-01-21
2024-01-19,Email,98.82,76650,3599,212,12866.72,0.47,130.204,5.891,4.695,2024-01,2024-01-15/2024-01-21
2024-01-19,Paid Search,599.15,29686,1133,52,3880.4,11.52,6.477,4.59,3.817,2024-01,2024-01-15/2024-01-21
2024-01-19,Paid Social,894.55,101836,1196,35,2502.91,25.56,2.798,2.926,1.174,2024-01,2024-01-15/2024-01-21
2024-01-20,Email,61.95,53234,2246,129,7148.34,0.48,115.389,5.744,4.219,2024-01,2024-01-15/2024-01-21
2024-01-20,SEO,132.84,159580,2874,85,6158.33,1.56,46.359,2.958,1.801,2024-01,2024-01-15/2024-01-21
2024-01-20,Paid Search,517.33,23323,696,32,2548.47,16.17,4.926,4.598,2.984,2024-01,2024-01-15/2024-01-21
2024-01-20,Paid Social,815.25,98777,1185,29,2033.37,28.11,2.494,2.447,1.2,2024-01,2024-01-15/2024-01-21
2024-01-21,Paid Social,688.4,80019,989,24,1696.28,28.68,2.464,2.427,1.236,2024-01,2024-01-15/2024-01-21
2024-01-21,SEO,136.71,144440,2645,84,6138.81,1.63,44.904,3.176,1.831,2024-01,2024-01-15/2024-01-21
2024-01-21,Paid Search,537.37,24473,811,37,2934.14,14.52,5.46,4.562,3.314,2024-01,2024-01-15/2024-01-21
2024-01-21,Email,69.33,54533,2754,203,12395.33,0.34,178.787,7.371,5.05,2024-01,2024-01-15/2024-01-21
2024-01-22,SEO,154.93,167394,4033,143,10104.57,1.08,65.22,3.546,2.409,2024-01,2024-01-22/2024-01-28
2024-01-22,Email,98.01,77360,3210,194,12864.83,0.51,131.26,6.044,4.149,2024-01,2024-01-22/2024-01-28
2024-01-22,Paid Search,651.6,28225,897,45,3575.07,14.48,5.487,5.017,3.178,2024-01,2024-01-22/2024-01-28
2024-01-22,Paid Social,1127.78,121981,1387,41,2908.61,27.51,2.579,2.956,1.137,2024-01,2024-01-22/2024-01-28
2024-01-23,Email,88.61,75424,3019,218,12446.16,0.41,140.46,7.221,4.003,2024-01,2024-01-22/2024-01-28
2024-01-23,Paid Search,663.4,29705,1068,47,3570.62,14.11,5.382,4.401,3.595,2024-01,2024-01-22/2024-01-28
2024-01-23,SEO,180.99,185993,3591,108,7138.59,1.68,39.442,3.008,1.931,2024-01,2024-01-22/2024-01-28
2024-01-23,Paid Social,1080.39,120095,1340,33,2144.38,32.74,1.985,2.463,1.116,2024-01,2024-01-22/2024-01-28
2024-01-24,SEO,170.9,176676,3331,107,7602.34,1.6,44.484,3.212,1.885,2024-01,2024-01-22/2024-01-28
2024-01-24,Paid Search,740.7,33243,1172,45,3643.95,16.46,4.92,3.84,3.526,2024-01,2024-01-22/2024-01-28
2024-01-24,Email,102.01,88140,3457,255,16464.06,0.4,161.397,7.376,3.922,2024-01,2024-01-22/2024-01-28
2024-01-24,Paid Social,1108.95,122973,1599,49,3091.99,22.63,2.788,3.064,1.3,2024-01,2024-01-22/2024-01-28
2024-01-25,Paid Social,969.26,104276,1280,38,2515.44,25.51,2.595,2.969,1.228,2024-01,2024-01-22/2024-01-28
2024-01-25,Email,98.6,78838,3589,234,13801.21,0.42,139.972,6.52,4.552,2024-01,2024-01-22/2024-01-28
2024-01-25,Paid Search,647.94,30347,1085,53,4076.63,12.23,6.292,4.885,3.575,2024-01,2024-01-22/2024-01-28
2024-01-25,SEO,166.91,169971,3482,91,6197.78,1.83,37.132,2.613,2.049,2024-01,2024-01-22/2024-01-28
2024-01-26,Paid Social,1064.58,117573,1281,30,1911.86,35.49,1.796,2.342,1.09,2024-01,2024-01-22/2024-01-28
2024-01-26,SEO,192.33,220018,3985,134,8848.43,1.44,46.006,3.363,1.811,2024-01,2024-01-22/2024-01-28
2024-01-26,Email,100.29,76804,3625,235,12994.98,0.43,129.574,6.483,4.72,2024-01,2024-01-22/2024-01-28
2024-01-26,Paid Search,719.37,34523,1142,49,3845.09,14.68,5.345,4.291,3.308,2024-01,2024-01-22/2024-01-28
2024-01-27,Paid Social,662.5,77618,1030,32,2047.84,20.7,3.091,3.107,1.327,2024-01,2024-01-22/2024-01-28
2024-01-27,Email,75.88,66958,3177,220,14089.72,0.34,185.684,6.925,4.745,2024-01,2024-01-22/2024-01-28
2024-01-27,Paid Search,431.37,20808,724,37,2710.04,11.66,6.282,5.11,3.479,2024-01,2024-01-22/2024-01-28
2024-01-27,SEO,125.94,139943,2790,88,5906.46,1.43,46.899,3.154,1.994,2024-01,2024-01-22/2024-01-28
2024-01-28,Paid Search,507.9,24811,767,34,2292.74,14.94,4.514,4.433,3.091,2024-01,2024-01-22/2024-01-28
2024-01-28,Email,57.79,52677,2427,175,10066.19,0.33,174.186,7.211,4.607,2024-01,2024-01-22/2024-01-28
2024-01-28,Paid Social,782.57,85354,930,22,1451.71,35.57,1.855,2.366,1.09,2024-01,2024-01-22/2024-01-28
2024-01-28,SEO,132.02,152767,3365,92,5975.97,1.44,45.266,2.734,2.203,2024-01,2024-01-22/2024-01-28
2024-01-29,Email,87.25,69057,3551,252,15808.33,0.35,181.184,7.097,5.142,2024-01,2024-01-29/2024-02-04
2024-01-29,Paid Search,736.86,31526,1097,43,3371.44,17.14,4.575,3.92,3.48,2024-01,2024-01-29/2024-02-04
2024-01-29,Paid Social,1023.01,126540,1717,47,3118.14,21.77,3.048,2.737,1.357,2024-01,2024-01-29/2024-02-04
2024-01-29,SEO,199.33,241814,4791,144,10248.44,1.38,51.414,3.006,1.981,2024-01,2024-01-29/2024-02-04
2024-01-30,SEO,180.9,218689,4590,142,9934.41,1.27,54.917,3.094,2.099,2024-01,2024-01-29/2024-02-04
2024-01-30,Paid Search,740.55,32110,1237,62,4697.31,11.94,6.343,5.012,3.852,2024-01,2024-01-29/2024-02-04
2024-01-30,Email,103.76,93831,4706,294,18641.96,0.35,179.664,6.247,5.015,2024-01,2024-01-29/2024-02-04
2024-01-30,Paid Social,910.83,105590,1207,35,2144.77,26.02,2.355,2.9,1.143,2024-01,2024-01-29/2024-02-04
2024-01-31,Paid Social,956.15,102036,1269,37,2360.3,25.84,2.469,2.916,1.244,2024-01,2024-01-29/2024-02-04
2024-01-31,SEO,198.11,233239,4894,141,10653.9,1.41,53.778,2.881,2.098,2024-01,2024-01-29/2024-02-04
2024-01-31,Paid Search,683.68,30358,1047,48,3513.04,14.24,5.138,4.585,3.449,2024-01,2024-01-29/2024-02-04
2024-01-31,Email,102.53,85970,4274,244,13424.11,0.42,130.929,5.709,4.972,2024-01,2024-01-29/2024-02-04
2024-02-01,Paid Social,1065.0,121707,1486,36,2594.04,29.58,2.436,2.423,1.221,2024-02,2024-01-29/2024-02-04
2024-02-01,SEO,199.12,234713,4544,131,9010.56,1.52,45.252,2.883,1.936,2024-02,2024-01-29/2024-02-04
2024-02-01,Paid Search,714.74,34747,1148,50,3684.22,14.29,5.155,4.355,3.304,2024-02,2024-01-29/2024-02-04
2024-02-01,Email,98.93,74485,3039,223,13071.68,0.44,132.131,7.338,4.08,2024-02,2024-01-29/2024-02-04
2024-02-02,SEO,207.82,250302,5779,168,12277.33,1.24,59.077,2.907,2.309,2024-02,2024-01-29/2024-02-04
2024-02-02,Email,94.35,79656,3524,253,16083.33,0.37,170.465,7.179,4.424,2024-02,2024-01-29/2024-02-04
2024-02-02,Paid Search,596.71,28584,1047,48,3329.18,12.43,5.579,4.585,3.663,2024-02,2024-01-29/2024-02-04
2024-02-02,Paid Social,981.09,105362,1428,37,2264.48,26.52,2.308,2.591,1.355,2024-02,2024-01-29/2024-02-04
2024-02-03,Email,71.46,54236,2713,193,10832.47,0.37,151.588,7.114,5.002,2024-02,2024-01-29/2024-02-04
2024-02-03,Paid Search,469.97,22180,776,33,2226.52,14.24,4.738,4.253,3.499,2024-02,2024-01-29/2024-02-04
2024-02-03,Paid Social,721.82,82280,858,23,1664.02,31.38,2.305,2.681,1.043,2024-02,2024-01-29/2024-02-04
2024-02-03,SEO,143.59,154993,3075,83,5525.14,1.73,38.479,2.699,1.984,2024-02,2024-01-29/2024-02-04
2024-02-04,Paid Search,474.22,23465,861,35,2665.39,13.55,5.621,4.065,3.669,2024-02,2024-01-29/2024-02-04
2024-02-04,Paid Social,843.4,96333,1134,34,2205.7,24.81,2.615,2.998,1.177,2024-02,2024-01-29/2024-02-04
2024-02-04,SEO,141.06,159893,3813,124,8838.15,1.14,62.655,3.252,2.385,2024-02,2024-01-29/2024-02-04
2024-02-04,Email,70.74,53759,2428,181,11798.2,0.39,166.783,7.455,4.516,2024-02,2024-01-29/2024-02-04
2024-02-05,Paid Search,720.51,30295,1017,41,3001.75,17.57,4.166,4.031,3.357,2024-02,2024-02-05/2024-02-11
2024-02-05,Paid Social,950.66,118943,1568,43,2753.68,22.11,2.897,2.742,1.318,2024-02,2024-02-05/2024-02-11
2024-02-05,SEO,156.95,162157,2947,93,5862.3,1.69,37.351,3.156,1.817,2024-02,2024-02-05/2024-02-11
2024-02-05,Email,79.82,70239,3423,225,13450.4,0.35,168.509,6.573,4.873,2024-02,2024-02-05/2024-02-11
2024-02-06,SEO,196.86,225146,4646,158,10602.87,1.25,53.86,3.401,2.064,2024-02,2024-02-05/2024-02-11
2024-02-06,Paid Social,1218.99,130736,1489,43,2842.68,28.35,2.332,2.888,1.139,2024-02,2024-02-05/2024-02-11
2024-02-06,Paid Search,624.96,30084,1013,52,3654.44,12.02,5.847,5.133,3.367,2024-02,2024-02-05/2024-02-11
2024-02-06,Email,88.96,67521,3187,224,12515.77,0.4,140.69,7.029,4.72,2024-02,2024-02-05/2024-02-11
2024-02-07,Email,77.57,69784,3259,182,11736.01,0.43,151.296,5.585,4.67,2024-02,2024-02-05/2024-02-11
2024-02-07,Paid Search,593.39,25194,925,43,3426.98,13.8,5.775,4.649,3.672,2024-02,2024-02-05/2024-02-11
2024-02-07,SEO,195.37,196562,3724,125,7996.89,1.56,40.932,3.357,1.895,2024-02,2024-02-05/2024-02-11
2024-02-07,Paid Social,915.86,107906,1479,39,2855.81,23.48,3.118,2.637,1.371,2024-02,2024-02-05/2024-02-11
2024-02-08,SEO,172.25,181013,3814,134,9774.19,1.29,56.744,3.513,2.107,2024-02,2024-02-05/2024-02-11
2024-02-08,Email,97.42,84190,3456,257,14688.51,0.38,150.775,7.436,4.105,2024-02,2024-02-05/2024-02-11
2024-02-08,Paid Social,1164.28,127687,1739,50,3702.91,23.29,3.18,2.875,1.362,2024-02,2024-02-05/2024-02-11
2024-02-08,Paid Search,611.1,26086,891,39,2717.05,15.67,4.446,4.377,3.416,2024-02,2024-02-05/2024-02-11
2024-02-09,Email,88.2,66150,3156,181,11385.92,0.49,129.092,5.735,4.771,2024-02,2024-02-05/2024-02-11
2024-02-09,Paid Search,703.74,30665,1088,52,4012.28,13.53,5.701,4.779,3.548,2024-02,2024-02-05/2024-02-11
2024-02-09,SEO,163.82,185523,3926,127,9642.69,1.29,58.861,3.235,2.116,2024-02,2024-02-05/2024-02-11
2024-02-09,Paid Social,1173.14,130812,1410,42,2762.58,27.93,2.355,2.979,1.078,2024-02,2024-02-05/2024-02-11
2024-02-10,Email,59.72,51796,2297,137,8204.42,0.44,137.381,5.964,4.435,2024-02,2024-02-05/2024-02-11
2024-02-10,SEO,154.02,176449,3641,112,7365.84,1.38,47.824,3.076,2.063,2024-02,2024-02-05/2024-02-11
2024-02-10,Paid Social,748.58,83182,928,28,2050.6,26.74,2.739,3.017,1.116,2024-02,2024-02-05/2024-02-11
2024-02-10,Paid Search,425.81,19895,791,36,2487.47,11.83,5.842,4.551,3.976,2024-02,2024-02-05/2024-02-11
2024-02-11,Email,67.93,60626,2610,192,11356.54,0.35,167.18,7.356,4.305,2024-02,2024-02-05/2024-02-11
2024-02-11,SEO,124.12,136525,3098,109,7405.28,1.14,59.662,3.518,2.269,2024-02,2024-02-05/2024-02-11
2024-02-11,Paid Social,833.66,96049,1228,38,2345.03,21.94,2.813,3.094,1.279,2024-02,2024-02-05/2024-02-11
2024-02-11,Paid Search,495.62,20368,714,30,2020.41,16.52,4.077,4.202,3.505,2024-02,2024-02-05/2024-02-11
2024-02-12,Paid Social,967.85,114413,1577,39,2712.29,24.82,2.802,2.473,1.378,2024-02,2024-02-12/2024-02-18
2024-02-12,Paid Search,611.27,26841,913,40,3205.66,15.28,5.244,4.381,3.402,2024-02,2024-02-12/2024-02-18
2024-02-12,Email,93.0,85213,3329,238,13666.99,0.39,146.957,7.149,3.907,2024-02,2024-02-12/2024-02-18
2024-02-12,SEO,185.96,191415,4448,157,10624.29,1.18,57.132,3.53,2.324,2024-02,2024-02-12/2024-02-18
2024-02-13,Paid Search,703.5,34398,1289,59,4121.65,11.92,5.859,4.577,3.747,2024-02,2024-02-12/2024-02-18
2024-02-13,SEO,196.13,220788,4240,133,9685.7,1.47,49.384,3.137,1.92,2024-02,2024-02-12/2024-02-18
2024-02-13,Paid Social,1233.78,138764,1759,48,3243.2,25.7,2.629,2.729,1.268,2024-02,2024-02-12/2024-02-18
2024-02-13,Email,99.62,91112,4619,306,19413.8,0.33,194.879,6.625,5.07,2024-02,2024-02-12/2024-02-18
2024-02-14,SEO,176.74,195719,4464,141,9235.08,1.25,52.252,3.159,2.281,2024-02,2024-02-12/2024-02-18
2024-02-14,Paid Search,736.0,34970,1256,53,3929.57,13.89,5.339,4.22,3.592,2024-02,2024-02-12/2024-02-18
2024-02-14,Paid Social,991.29,119979,1511,39,2704.25,25.42,2.728,2.581,1.259,2024-02,2024-02-12/2024-02-18
2024-02-14,Email,87.11,78799,3628,223,13674.52,0.39,156.98,6.147,4.604,2024-02,2024-02-12/2024-02-18
2024-02-15,Paid Social,1092.17,133426,1745,52,3788.07,21.0,3.468,2.98,1.308,2024-02,2024-02-12/2024-02-18
2024-02-15,Email,84.96,64903,3204,224,13365.89,0.38,157.32,6.991,4.937,2024-02,2024-02-12/2024-02-18
2024-02-15,Paid Search,726.79,34649,1195,58,4417.01,12.53,6.077,4.854,3.449,2024-02,2024-02-12/2024-02-18
2024-02-15,SEO,179.99,198094,3759,100,6307.75,1.8,35.045,2.66,1.898,2024-02,2024-02-12/2024-02-18
2024-02-16,Paid Search,665.82,28806,928,47,3576.24,14.17,5.371,5.065,3.222,2024-02,2024-02-12/2024-02-18
2024-02-16,Paid Social,1103.7,134024,1409,37,2533.01,29.83,2.295,2.626,1.051,2024-02,2024-02-12/2024-02-18
2024-02-16,SEO,188.97,219382,4852,131,9411.59,1.44,49.805,2.7,2.212,2024-02,2024-02-12/2024-02-18
2024-02-16,Email,84.2,76705,3553,239,14045.69,0.35,166.813,6.727,4.632,2024-02,2024-02-12/2024-02-18
2024-02-17,Paid Search,476.91,22502,716,35,2548.97,13.63,5.345,4.888,3.182,2024-02,2024-02-12/2024-02-18
2024-02-17,Paid Social,816.64,92099,1074,26,1653.51,31.41,2.025,2.421,1.166,2024-02,2024-02-12/2024-02-18
2024-02-17,Email,78.01,61504,2533,183,12103.2,0.43,155.149,7.225,4.118,2024-02,2024-02-12/2024-02-18
2024-02-17,SEO,148.08,168414,3828,120,7811.49,1.23,52.752,3.135,2.273,2024-02,2024-02-12/2024-02-18
2024-02-18,Paid Social,789.35,92578,1256,33,2398.42,23.92,3.038,2.627,1.357,2024-02,2024-02-12/2024-02-18
2024-02-18,Paid Search,516.68,21900,658,30,2077.68,17.22,4.021,4.559,3.005,2024-02,2024-02-12/2024-02-18
2024-02-18,SEO,153.36,154826,3246,103,7339.35,1.49,47.857,3.173,2.097,2024-02,2024-02-12/2024-02-18
2024-02-18,Email,64.76,50875,2360,165,10727.22,0.39,165.646,6.992,4.639,2024-02,2024-02-12/2024-02-18
2024-02-19,Paid Social,1188.53,139798,1664,52,3234.93,22.86,2.722,3.125,1.19,2024-02,2024-02-19/2024-02-25
2024-02-19,Paid Search,633.26,30683,1040,41,2965.6,15.45,4.683,3.942,3.389,2024-02,2024-02-19/2024-02-25
2024-02-19,SEO,180.8,207932,4220,130,8636.25,1.39,47.767,3.081,2.03,2024-02,2024-02-19/2024-02-25
2024-02-19,Email,101.95,78882,3189,207,12074.23,0.49,118.433,6.491,4.043,2024-02,2024-02-19/2024-02-25
2024-02-20,Email,94.94,86503,3369,192,12796.07,0.49,134.781,5.699,3.895,2024-02,2024-02-19/2024-02-25
2024-02-20,Paid Social,1075.02,137323,1817,48,3059.31,22.4,2.846,2.642,1.323,2024-02,2024-02-19/2024-02-25
2024-02-20,SEO,173.67,186386,4309,136,10296.36,1.28,59.287,3.156,2.312,2024-02,2024-02-19/2024-02-25
2024-02-20,Paid Search,634.03,29403,937,45,3291.21,14.09,5.191,4.803,3.187,2024-02,2024-02-19/2024-02-25
2024-02-21,Paid Search,695.12,31770,1248,54,3833.73,12.87,5.515,4.327,3.928,2024-02,2024-02-19/2024-02-25
2024-02-21,Paid Social,1251.9,154513,1790,43,3150.42,29.11,2.517,2.402,1.158,2024-02,2024-02-19/2024-02-25
2024-02-21,Email,100.4,81820,3248,221,12313.28,0.45,122.642,6.804,3.97,2024-02,2024-02-19/2024-02-25
2024-02-21,SEO,187.04,221991,4985,159,10214.95,1.18,54.614,3.19,2.246,2024-02,2024-02-19/2024-02-25
2024-02-22,Paid Social,1001.28,106934,1453,35,2580.29,28.61,2.577,2.409,1.359,2024-02,2024-02-19/2024-02-25
2024-02-22,Paid Search,619.62,29514,1089,44,3459.71,14.08,5.584,4.04,3.69,2024-02,2024-02-19/2024-02-25
2024-02-22,Email,91.57,70608,3212,235,14529.85,0.39,158.675,7.316,4.549,2024-02,2024-02-19/2024-02-25
2024-02-22,SEO,208.38,234246,5091,170,12287.57,1.23,58.967,3.339,2.173,2024-02,2024-02-19/2024-02-25
2024-02-23,Paid Social,1265.48,148690,1520,44,3083.79,28.76,2.437,2.895,1.022,2024-02,2024-02-19/2024-02-25
2024-02-23,Email,92.84,84282,3567,244,14546.86,0.38,156.687,6.84,4.232,2024-02,2024-02-19/2024-02-25
2024-02-23,Paid Search,710.15,30077,1195,53,4271.87,13.4,6.015,4.435,3.973,2024-02,2024-02-19/2024-02-25
2024-02-23,SEO,188.9,219392,3949,112,7374.35,1.69,39.038,2.836,1.8,2024-02,2024-02-19/2024-02-25
2024-02-24,Paid Search,556.03,26621,854,39,3094.85,14.26,5.566,4.567,3.208,2024-02,2024-02-19/2024-02-25
2024-02-24,SEO,118.47,121755,2429,65,4871.59,1.82,41.121,2.676,1.995,2024-02,2024-02-19/2024-02-25
